Open to discussing flexible working arrangements at the interview stage?,Yes
Employer is a Pay Equity Ambassador*,Yes
Paid Parental Leave at full salary for primary carer (not including government-funded parental leave),18 Weeks
Paid Parental Leave at full salary for secondary carer,2 Weeks
Minimum tenure required to be eligible for Paid Parental Leave,6 months
Continuation of superannuation payments whilst on paid Parental Leave,Yes
Continuation of superannuation payments whilst on unpaid Parental Leave,Yes
Programs for parents returning to work after Parental Leave,Yes**
Opportunities to purchase leave,Yes
Employee Assistance Program (EAP),Yes
Breastfeeding rooms,Yes
Leadership development programs,Yes
Mentoring opportunities,Yes
Coaching programs,Yes
Targets to raise the number of women in leadership,Yes
Domestic and Family Violence policy,Yes
Internal Women's networking groups,Yes
Employee engagement scores year on year,70%
Employee turnover rate,8.5%
Paid volunteer days,1 day per annum
